"","artists","track_name","duration_ms","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"131","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",227478,88,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013
"132","Machine Gun Kelly, blackbear","my ex's best friend (with blackbear)",139461,88,0.731,0.675,5,-5.134,0,0.0434,0.00473,0,0.141,0.298,124.939
"133","Ariana Grande, Doja Cat","motive (with Doja Cat)",167990,88,0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965
"134","salem ilese","Mad at Disney",136839,88,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968
"135","Fousheé","Deep End",141224,88,0.711,0.592,4,-7.136,0,0.23,0.758,0,0.156,0.535,124.749
"136","Clean Bandit, Mabel, 24kGoldn","Tick Tock (feat. 24kGoldn)",178374,88,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022
"137","Ozuna, Camilo","Despeinada",224187,88,0.734,0.775,8,-3.855,1,0.0614,0.186,0.000542,0.123,0.72,166.039
"138","Doja Cat","Woman",172626,88,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998
"139","Lost Frequencies;Calum Scott","Where Are You Now",148197,88,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966
"140","Sam Smith","I'm Not The Only One",239316,88,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001
"141","Arctic Monkeys","Do I Wanna Know?",272394,88,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
"142","Arctic Monkeys","505",253586,88,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266
"143","Arctic Monkeys","Why'd You Only Call Me When You're High?",161123,88,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
"144","Ghost","Mary On A Cross",244804,88,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02
"145","Eminem","Without Me",290320,88,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238
"146","J. Cole","No Role Modelz",292799,88,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028
"147","Pritam;Arijit Singh;Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",268164,88,0.577,0.574,0,-6.525,1,0.0278,0.572,0,0.1,0.436,94.009
"148","Glass Animals","Heat Waves",238805,88,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
"149","IVE","After LIKE",176973,88,0.68,0.922,0,-1.215,1,0.121,0.103,0,0.0877,0.799,125.014
"150","J Balvin;Bad Bunny","LA CANCIÓN",242573,88,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089
"151","Pablo Pesadilla;Polimá Westcoast;Nickoog Clk;Fran C","BABY OTAKU",176470,88,0.835,0.747,9,-4.65,1,0.083,0.0492,0,0.055,0.432,102.003
"152","Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow","La Llevo Al Cielo (Ft. Ñengo Flow)",254920,88,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023
"153","One Direction","Night Changes",226600,88,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001
"154","Justin Bieber","Ghost",153190,88,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96
"155","Ed Sheeran","Bad Habits",230746,88,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
"156","Olivia Rodrigo","drivers license",242013,88,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
"157","The Weeknd","The Hills",242253,88,0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003
"158","The Weeknd","Die For You",260253,88,0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249
"159","Olivia Rodrigo","traitor",229226,88,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607
"160","Olivia Rodrigo","good 4 u",178146,88,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928
"161","Taylor Swift","Don’t Blame Me",236413,88,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917
"162","Billie Eilish","Happier Than Ever",298899,88,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055
"163","Imagine Dragons","Believer",204346,88,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949
"164","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)",216680,88,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029
"165","BØRNS","Electric Love",218107,87,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041
"166","XXXTENTACION","Jocelyn Flores",119133,87,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021
"167","Juice WRLD","All Girls Are The Same",165820,87,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989
"168","JP Saxe, Julia Michaels","If the World Was Ending - feat. Julia Michaels",208687,87,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801
"169","Arizona Zervas","ROXANNE",163636,87,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735
"170","Billie Eilish","everything i wanted",245426,87,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006
"171","Ariana Grande","7 rings",178627,87,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048
"172","Regard","Ride It",157606,87,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948
"173","Polo G","Martin & Gina",132833,87,0.832,0.534,1,-7.813,0,0.253,0.345,0,0.165,0.116,93.924
"174","Kane Brown, Swae Lee, Khalid","Be Like That - feat. Swae Lee & Khalid",191406,87,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97
"175","The Kid LAROI","SO DONE",126521,87,0.719,0.598,9,-6.254,1,0.077,0.232,0,0.115,0.303,142.592
"176","Pop Smoke, 50 Cent, Roddy Ricch","The Woo (feat. 50 Cent & Roddy Ricch)",201600,87,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7
"177","DJ Khaled, Drake","GREECE (feat. Drake)",218902,87,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84
"178","Sam Smith","Diamonds",213869,87,0.653,0.667,10,-6.764,0,0.0423,0.154,0,0.107,0.556,104.181
"179","Shawn Mendes, Justin Bieber","Monster (Shawn Mendes & Justin Bieber)",178994,87,0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765
"180","Ava Max","Kings & Queens",162399,87,0.637,0.69,1,-4.057,0,0.0405,0.00785999999999999,0,0.124,0.457,129.857
"181","Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka","La Jeepeta - Remix",345241,87,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176.007
"182","Tainy, J Balvin","Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",157944,87,0.76,0.658,7,-5.275,1,0.275,0.162,0,0.195,0.565,100.202
"183","Tiësto","The Business",164000,87,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031
"184","J Balvin","Azul",205933,87,0.843,0.836,11,-2.474,0,0.0695,0.0816,0.00138,0.0532,0.65,94.018
"185","Ozuna","Caramelo",217547,87,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084
"186","The Neighbourhood","Daddy Issues",260173,87,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012
"187","Oliver Tree;Robin Schulz","Miss You",206000,87,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007
"188","Paloma Faith","Only Love Can Hurt Like This",232893,87,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99
"189","benny blanco;BTS;Snoop Dogg","Bad Decisions (with BTS & Snoop Dogg)",172714,87,0.762,0.861,0,-3.296,1,0.0955,0.0185,0,0.264,0.955,120.048
"190","Marshmello;Khalid","Numb",155588,87,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966
"191","Imanbek;BYOR","Belly Dancer",151475,87,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985
"192","Camila Cabello;Ed Sheeran","Bam Bam (feat. Ed Sheeran)",206070,87,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996
"193","Bruno Mars","Locked out of Heaven",233478,87,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994
